Mes,Departamento,Municipio,Día,Hora,Barrio,Zona,Clase de sitio,Arma empleada,Móvil Agresor,Móvil Victima,Edad,Sexo,Estado civil,Escolaridad,CLASE,MARCA,LINEA,MODELO,COLOR,Cantidad
Ene,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,0:00:00,LA SOLEDAD E-13,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,18,MASCULINO,SOLTERO,PRIMARIA,AUTOMOVIL,NO REPORTADO,LINEA STANDARD,2015,AZUL,1
Ene,TOLIMA,IBAGUÉ (CT),Domingo,0:00:00,SANTA BARBARA,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,52,FEMENINO,CASADO,PRIMARIA,AUTOMOVIL,CHEVROLET,SPARK,2008,AMARILLO,1
Ene,VALLE,CALI (CT),Domingo,8:00:00,CIUDAD DE LOS ALAMOS E2,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,42,MASCULINO,CASADO,SUPERIOR,AUTOMOVIL,CHEVROLET,SPRINT,1992,ROJO,1
Ene,VALLE,CALI (CT),Domingo,8:00:00,LOS GUADUALES E6,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,40,MASCULINO,UNION LIBRE,TECNICO,AUTOMOVIL,RENAULT,R 9,1995,ROJO,1
Ene,VALLE,EL CERRITO,Domingo,5:45:00,VEREDA EL PARAISO,RURAL,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,40,MASCULINO,CASADO,SECUNDARIA,CAMIONETA,TOYOTA,LINEA STANDARD,1990,NO REPORTA,1
Ene,ANTIOQUIA,LA ESTRELLA,Lunes,19:00:00,VDA. SIERRA MORENA,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,CONDUCTOR VEHICULO,23,MASCULINO,SOLTERO,SECUNDARIA,TRACTO_CAMION,KENWORTH,T800,2014,AMARILLO,1
Ene,ANTIOQUIA,MEDELLÍN (CT),Lunes,18:00:00,PROGRESO C-5,URBANA,PARQUEADERO,LLAVE MAESTRA,A PIE,A PIE,49,MASCULINO,CASADO,SECUNDARIA,CAMIONETA,CHEVROLET,SUPER CARRY CARGO,2005,BLANCO,1
Ene,ANTIOQUIA,MEDELLÍN (CT),Lunes,15:30:00,LOPEZ DE MESA C-7,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,54,MASCULINO,UNION LIBRE,SECUNDARIA,AUTOMOVIL,KIA,PICANTO LX,2012,GRIS,1
Ene,ANTIOQUIA,MEDELLÍN (CT),Lunes,17:30:00,LA CANDELARIA C-10,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,47,MASCULINO,UNION LIBRE,PRIMARIA,CAMIONETA,CHEVROLET,LUV KB 21,1986,NEGRO,1
Ene,CUNDINAMARCA,BOGOTÁ D.C. (CT),Lunes,0:00:00,EL SALITRE E-13,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,42,MASCULINO,CASADO,SUPERIOR,AUTOMOVIL,CHEVROLET,MONZA,NO REPORTA,NEGRO,1
Ene,CUNDINAMARCA,BOGOTÁ D.C. (CT),Lunes,18:10:00,CORDOBA E-4,URBANA,FRENTE A RESIDENCIAS - VIA PUBLICA,LLAVE MAESTRA,A PIE,A PIE,59,MASCULINO,CASADO,SECUNDARIA,AUTOMOVIL,CHEVROLET,CHEVETTE,1985,VERDE,1
Ene,NORTE DE SANTANDER,CÚCUTA (CT),Lunes,20:00:00,BARIO LA RIVIERA,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,31,MASCULINO,SOLTERO,SUPERIOR,CAMIONETA,DAIHATSU,LINEA STANDARD,2007,BEIGE,1
Ene,VALLE,YUMBO,Lunes,14:00:00,BELALCAZAR E25,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,31,MASCULINO,UNION LIBRE,SECUNDARIA,AUTOMOVIL,CHEVROLET,AVEO,2008,BEIGE,1
Ene,ANTIOQUIA,BELLO,Martes,6:00:00,LA CABAÑA,URBANA,FRENTE A RESIDENCIAS - VIA PUBLICA,LLAVE MAESTRA,A PIE,A PIE,29,MASCULINO,SOLTERO,SUPERIOR,CAMPERO,TOYOTA,FZJ 73 LC,1997,VERDE,1
Ene,ANTIOQUIA,BELLO,Martes,10:30:00,VDA. LA CHINA,RURAL,VIAS PUBLICAS,ARMA DE FUEGO,PASAJERO MOTOCICLETA,CONDUCTOR VEHICULO,64,MASCULINO,CASADO,SECUNDARIA,CAMIONETA,TOYOTA,HILUX,2015,PLATEADO,1
Ene,ANTIOQUIA,BELLO,Martes,19:50:00,VDA. EL PINAR,RURAL,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,CONDUCTOR TAXI,42,MASCULINO,UNION LIBRE,SECUNDARIA,AUTOMOVIL,HYUNDAI,I10GL,2013,AMARILLO,1
Ene,ANTIOQUIA,ITAGUI,Martes,0:00:00,LAS AMERICAS,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,57,MASCULINO,CASADO,SECUNDARIA,AUTOMOVIL,MAZDA,323,1995,PLATEADO,1
Ene,ANTIOQUIA,MEDELLÍN (CT),Martes,15:00:00,EL CHAGUALO C-10,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,60,MASCULINO,DIVORCIADO,SECUNDARIA,AUTOMOVIL,RENAULT,R 9,1994,NARANJA,1
Ene,ANTIOQUIA,MEDELLÍN (CT),Martes,3:30:00,BOSTON C-10,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,41,MASCULINO,UNION LIBRE,SECUNDARIA,CAMIONETA,TOYOTA,LAND CRUISER,1996,VERDE,1
Ene,ANTIOQUIA,MEDELLÍN (CT),Martes,0:15:00,SUCRE C-8,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,38,FEMENINO,UNION LIBRE,SECUNDARIA,AUTOMOVIL,MAZDA,323,1996,VERDE,1
Ene,ATLÁNTICO,BARRANQUILLA (CT),Martes,13:00:00,GARDENIAS,URBANA,VEHICULO,ARMA DE FUEGO,PASAJERO VEHICULO,CONDUCTOR VEHICULO,36,MASCULINO,UNION LIBRE,SECUNDARIA,CAMION,CHEVROLET,LINEA STANDARD,2012,AMARILLO,1
Ene,CÓRDOBA,SAN PELAYO,Martes,0:00:00,CGTO PELAYITO,RURAL,FINCAS Y SIMILARES,SIN EMPLEO DE ARMAS,A PIE,A PIE,28,MASCULINO,UNION LIBRE,SUPERIOR,COSECHADORA,JHON DEERE,LINEA STANDARD,1989,VERDE,1
Ene,CUNDINAMARCA,BOGOTÁ D.C. (CT),Martes,10:00:00,FONTIBON CENTRO E-9,URBANA,PARQUEADERO,SIN EMPLEO DE ARMAS,A PIE,A PIE,42,MASCULINO,CASADO,SUPERIOR,AUTOMOVIL,KIA,SPORTAGE,1994,AZUL,1
Ene,CUNDINAMARCA,BOGOTÁ D.C. (CT),Martes,14:40:00,EL PARAISO E-19,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,29,MASCULINO,UNION LIBRE,PRIMARIA,CAMION,FOTON,BJ5089VEBEA-FA,2013,ROJO,1
Ene,CUNDINAMARCA,BOGOTÁ D.C. (CT),Martes,0:05:00,VILLA DEL RIO E-7,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,37,MASCULINO,CASADO,SECUNDARIA,AUTOMOVIL,RENAULT,LOGAN EXPRESSION,2011,NEGRO,1
Ene,CUNDINAMARCA,BOGOTÁ D.C. (CT),Martes,20:36:00,FONTIBÓN UNIDAD RESIDENCIAL E-9,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,41,MASCULINO,SOLTERO,SUPERIOR,AUTOMOVIL,CHEVROLET,SPARK,2015,BLANCO,1
Ene,CUNDINAMARCA,FUNZA,Martes,0:00:00,VER. EL CERRITO,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,22,MASCULINO,SOLTERO,NO REPORTA,AUTOMOVIL,RENAULT,R 9 BRIO,1993,NO REPORTA,1
Ene,GUAJIRA,ALBANIA,Martes,3:00:00,EL MOLINO,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,48,FEMENINO,UNION LIBRE,SECUNDARIA,AUTOMOVIL,MAZDA,626-L,1993,PERLA,1
Ene,GUAJIRA,MAICAO,Martes,5:00:00,CENTRO,URBANA,VEHICULO,ARMA DE FUEGO,A PIE,A PIE,48,MASCULINO,UNION LIBRE,SECUNDARIA,CAMIONETA,MAZDA,LINEA STANDARD,2011,PLATA,1
Ene,NARIÑO,IPIALES,Martes,12:30:00,BELLA VISTA,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,CONDUCTOR VEHICULO,46,MASCULINO,CASADO,PRIMARIA,CAMIONETA,CHEVROLET,LUV TFS,1990,AZUL,1
Ene,NARIÑO,IPIALES,Martes,12:15:00,BELLA VISTA,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,CONDUCTOR VEHICULO,35,FEMENINO,SOLTERO,PRIMARIA,CAMIONETA,CHEVROLET,LUV,1994,ROJO,1
Ene,NARIÑO,PASTO (CT),Martes,18:00:00,JULIAN BUCHELI,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,CONDUCTOR VEHICULO,CONDUCTOR VEHICULO,29,MASCULINO,SOLTERO,SECUNDARIA,AUTOMOVIL,RENAULT,CLIO DYNAMIQUE,2005,ROJO,1
Ene,VALLE,CALI (CT),Martes,10:00:00,GUAYAQUIL E9,URBANA,FRENTE A RESIDENCIAS - VIA PUBLICA,SIN EMPLEO DE ARMAS,A PIE,A PIE,60,FEMENINO,SOLTERO,PRIMARIA,AUTOMOVIL,RENAULT,R 6,1981,AMARILLO,1
Ene,ANTIOQUIA,BELLO,Miércoles,21:30:00,SAN JOSE OBRERO,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,25,MASCULINO,SOLTERO,SUPERIOR,AUTOMOVIL,CHEVROLET,OPTRA,2007,NEGRO,1
Ene,ANTIOQUIA,BELLO,Miércoles,2:57:00,LA FLORIDA,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,PASAJERO MOTOCICLETA,CONDUCTOR VEHICULO,33,FEMENINO,SOLTERO,SECUNDARIA,AUTOMOVIL,RENAULT,TWINGO ACCESS PLUS,2012,GRIS,1
Ene,ANTIOQUIA,ITAGUI,Miércoles,22:30:00,SAN GABRIEL,URBANA,PARQUEADERO,LLAVE MAESTRA,A PIE,A PIE,40,MASCULINO,CASADO,SECUNDARIA,CAMIONETA,TOYOTA,SIN LINEA,1998,VINOTINTO,1
Ene,ANTIOQUIA,MEDELLÍN (CT),Miércoles,22:00:00,TEJELO C-5,URBANA,SOBRE ANDEN - VIA PUBLICA,LLAVE MAESTRA,A PIE,A PIE,50,MASCULINO,UNION LIBRE,SECUNDARIA,CAMIONETA,CHEVROLET,LUV,1992,BLANCO,1
Ene,ATLÁNTICO,BARRANQUILLA (CT),Miércoles,14:00:00,SAN LUIS,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,PASAJERO VEHICULO,CONDUCTOR VEHICULO,27,MASCULINO,UNION LIBRE,SECUNDARIA,CAMION,CHEVROLET,LINEA STANDARD,2017,BLANCO,1
Ene,ATLÁNTICO,BARRANQUILLA (CT),Miércoles,7:30:00,EL PORVENIR,URBANA,FRENTE A RESIDENCIAS - VIA PUBLICA,LLAVE MAESTRA,CONDUCTOR VEHICULO,A PIE,70,MASCULINO,CASADO,SUPERIOR,AUTOMOVIL,MAZDA,323 HB,1995,ROJO,1
Ene,CASANARE,YOPAL (CT),Miércoles,8:00:00,BUENA VISTA,RURAL,FINCAS Y SIMILARES,ARMA DE FUEGO,A PIE,A PIE,71,FEMENINO,VIUDO,SUPERIOR,CAMIONETA,GREAT WALL,WINGLE 5,2014,ROJO,1
Ene,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,10:00:00,EL TUNAL II E-6,URBANA,BAHIA,LLAVE MAESTRA,A PIE,A PIE,21,MASCULINO,SOLTERO,SUPERIOR,CAMIONETA,CHEVROLET,LUV TFR LWB,1996,ROJO,1
Ene,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,21:30:00,BOITA E-8,URBANA,VIAS PUBLICAS,LLAVE MAESTRA,A PIE,A PIE,57,MASCULINO,SEPARADO,TECNICO,AUTOMOVIL,CHEVROLET,SPRINT,1988,CHAMPAÑA,1
Ene,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,15:00:00,VILLA LUZ E-10,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,PASAJERO VEHICULO,A PIE,43,FEMENINO,CASADO,SECUNDARIA,VEHICULO-PANEL,MAZDA,626,NO REPORTA,STRATO,1
